src_ip,dst_ip,src_port,dst_port,protocol,iat_mean,pkt_size_mean,ip_flags_df,ip_flags_mf,ip_flags_rb,ip_frag_off,tcp_len_mean,ack_count,cwr_count,ece_count,fin_count,psh_count,res_count,rst_count,syn_count,urg_count,tcp_win_mean,udp_len_mean,icmp_type_mean,pkt_count,label
10.0.2.23,192.168.0.2,43046,3306,6,0.069045,77.29,265,0,0,0,9.24,231,0,0,68,34,0,0,68,0,11068.21,0.0,0.0,265,normal
10.0.3.32,192.168.0.1,49292,8000,6,0.020694,1587.2,859,0,0,0,1519.86,787,0,0,127,290,0,0,144,0,7370.1,0.0,0.0,859,normal
10.0.3.32,192.168.0.2,45204,3306,6,0.295901,77.54,61,0,0,0,9.44,53,0,0,16,8,0,0,16,0,11311.85,0.0,0.0,61,normal
10.0.2.21,192.168.0.2,45322,3306,6,0.061727,77.01,292,0,0,0,9.23,249,0,0,68,43,0,6,74,0,10930.34,0.0,0.0,292,normal
10.0.2.21,192.168.0.1,51242,8000,6,0.031893,130.8,564,0,0,0,63.26,510,0,0,107,162,0,0,108,0,8280.91,0.0,0.0,564,normal
10.0.2.24,192.168.0.1,38726,8000,6,0.029908,4509.41,596,0,0,0,4442.44,558,0,0,42,259,0,4,74,0,5749.89,0.0,0.0,596,normal
10.0.2.24,192.168.0.2,55346,3306,6,0.093224,77.58,190,0,0,0,9.47,165,0,0,47,25,0,0,50,0,11348.75,0.0,0.0,190,normal
10.0.2.26,192.168.0.1,45708,8000,6,0.090744,135.93,190,0,0,0,68.33,171,0,0,38,57,0,0,38,0,8645.24,0.0,0.0,190,normal
10.0.3.36,192.168.0.1,0,0,1,1.486665,98.0,6,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0,12,normal
10.0.1.12,192.168.0.2,56002,3306,6,0.166492,77.22,102,0,0,0,9.18,89,0,0,25,13,0,0,26,0,10995.29,0.0,0.0,102,normal
10.0.1.12,192.168.0.1,39530,8000,6,0.045308,5030.7,387,0,0,0,4963.98,368,0,0,4,197,0,3,36,0,4105.2,0.0,0.0,387,normal
10.0.2.26,192.168.0.2,60406,3306,6,0.071925,77.1,236,0,0,0,9.22,203,0,0,56,33,0,3,60,0,10965.8,0.0,0.0,236,normal
